%% SSP4-6.0 CO2, Meinshausen et al. 2020 (GMD, doi:10.5194/gmd-13-3571-2020), World annual-mean mole fraction (ppm), 2015-2100 %%
Year	CO2(ppm)
2015	399.95
2016	403.12
2017	405.74
2018	408.56
2019	411.34
2020	414.10
2021	416.84
2022	419.61
2023	422.44
2024	425.33
2025	428.29
2026	431.31
2027	434.39
2028	437.53
2029	440.73
2030	444.00
2031	447.32
2032	450.70
2033	454.09
2034	457.52
2035	460.97
2036	464.46
2037	467.97
2038	471.52
2039	475.10
2040	478.72
2041	482.37
2042	486.03
2043	489.70
2044	493.38
2045	497.06
2046	500.75
2047	504.44
2048	508.15
2049	511.87
2050	515.59
2051	519.33
2052	523.07
2053	526.81
2054	530.55
2055	534.28
2056	538.01
2057	541.74
2058	545.47
2059	549.21
2060	552.94
2061	556.67
2062	560.39
2063	564.10
2064	567.79
2065	571.46
2066	575.12
2067	578.76
2068	582.39
2069	586.01
2070	589.61
2071	593.20
2072	596.74
2073	600.21
2074	603.61
2075	606.95
2076	610.22
2077	613.42
2078	616.56
2079	619.63
2080	622.64
2081	625.58
2082	628.46
2083	631.27
2084	634.01
2085	636.68
2086	639.28
2087	641.81
2088	644.28
2089	646.67
2090	648.99
2091	651.24
2092	653.43
2093	655.54
2094	657.59
2095	659.57
2096	661.47
2097	663.31
2098	665.08
2099	666.78
2100	668.40
