%% SSP1-1.9 CO2, Meinshausen et al. 2020 (GMD, doi:10.5194/gmd-13-3571-2020), World annual-mean mole fraction (ppm), 2015-2100 %%
Year	CO2(ppm)
2015	399.95
2016	403.12
2017	405.75
2018	408.59
2019	411.40
2020	414.21
2021	417.01
2022	419.70
2023	422.17
2024	424.44
2025	426.52
2026	428.43
2027	430.15
2028	431.71
2029	433.10
2030	434.32
2031	435.39
2032	436.34
2033	437.18
2034	437.92
2035	438.55
2036	439.08
2037	439.51
2038	439.84
2039	440.06
2040	440.18
2041	440.20
2042	440.14
2043	440.03
2044	439.86
2045	439.63
2046	439.35
2047	439.01
2048	438.61
2049	438.15
2050	437.63
2051	437.05
2052	436.45
2053	435.84
2054	435.22
2055	434.60
2056	433.96
2057	433.32
2058	432.67
2059	432.00
2060	431.31
2061	430.62
2062	429.91
2063	429.19
2064	428.46
2065	427.73
2066	426.98
2067	426.22
2068	425.45
2069	424.67
2070	423.88
2071	423.07
2072	422.25
2073	421.43
2074	420.58
2075	419.73
2076	418.87
2077	417.99
2078	417.10
2079	416.20
2080	415.29
2081	414.36
2082	413.42
2083	412.46
2084	411.48
2085	410.49
2086	409.48
2087	408.45
2088	407.40
2089	406.34
2090	405.26
2091	404.16
2092	403.04
2093	401.91
2094	400.76
2095	399.59
2096	398.41
2097	397.21
2098	395.99
2099	394.76
2100	393.51
